col,row,plot_number,tree_no,plot_id,Phy_zone,X_tree_and_climber_position,forest_stand,bearing,distance,distance_unit_name,species,species_name,Species_Name,dbh,quality_class,crown_class,lopping,sample_tree_type,height,crown_height,base_tree_height,base_crown_height,base_slope,age,radial_growth,height_m,remarks,diameter_p
3,76,3,1,3-76-3,1,1,1,98,3.3,m,6651,Syzygium cumini,Eugenia jambolana,30.5,3,1,0,1,13.2,4.4,2.1,0.8,0,0,0,13.4,dbh at 0.7m,30.5
3,76,3,2,3-76-3,1,2,1,98,3.3,m,6651,Syzygium cumini,Eugenia jambolana,34.5,3,1,0,0,NA,NA,NA,NA,NA,0,0,NA,dbh at 0.7m,34.5
3,76,3,4,3-76-3,1,4,1,184,10.3,m,6651,Syzygium cumini,Eugenia jambolana,36.5,3,2,0,0,NA,NA,NA,NA,NA,0,0,NA,dbh at 0.7m,36.5
3,76,3,5,3-76-3,1,5,1,184,10.3,m,6651,Syzygium cumini,Eugenia jambolana,28,3,2,0,0,NA,NA,NA,NA,NA,0,0,NA,dbh at 0.7m,28
3,76,3,6,3-76-3,1,6,1,210,5.4,m,6651,Syzygium cumini,Eugenia jambolana,55,3,1,0,0,NA,NA,NA,NA,NA,0,0,NA,dbh at 0.7m,55
3,76,3,7,3-76-3,1,7,1,223,10.5,m,6349,Hymenodictyon excelsum,Hymenodictyon excelsum,34.7,2,1,0,1,15.6,1.3,4.2,0,0,0,0,16.2,dbh at 0.7m,34.7
3,76,3,9,3-76-3,1,9,1,237,14.9,m,6369,Lagerstroemia parviflora,Lagerstroemia parviflora,27,2,2,0,2,12.9,6,0,0,NA,0,0,12.9,dbh at 0.7m,27
3,76,3,10,3-76-3,1,10,1,267,12.7,m,6651,Syzygium cumini,Eugenia jambolana,39.2,2,1,0,2,15.3,2.1,0,0,NA,0,0,15.3,dbh at 0.7m,39.2
3,76,3,11,3-76-3,1,11,1,296,18.7,m,6651,Syzygium cumini,Eugenia jambolana,50,2,2,0,0,NA,NA,NA,NA,NA,0,0,NA,dbh at 0.7m,50
3,76,3,16,3-76-3,1,16,1,309,14.4,m,6651,Syzygium cumini,Eugenia jambolana,36,3,2,0,0,NA,NA,NA,NA,NA,0,0,NA,dbh at 0.7m,36
3,76,3,18,3-76-3,1,18,1,323,16,m,6615,Shorea robusta,Shorea robusta,33.5,2,1,0,4,18.4,5.7,0,0,NA,0,0,18.4,dbh at 0.7m,33.5
3,76,3,19,3-76-3,1,19,1,325,12.4,m,6615,Shorea robusta,Shorea robusta,27.5,3,1,0,1,14.5,3.9,5,1.2,0,0,0,15.3,dbh at 0.7m,27.5
3,76,3,20,3-76-3,1,20,1,326,12.1,m,6615,Shorea robusta,Shorea robusta,23.5,3,2,0,4,11.7,3.9,5.1,1.4,0,0,0,12.8,dbh at 0.7m,23.5
3,76,3,21,3-76-3,1,21,1,335,8.4,m,6127,Bauhinia purpurea,OTHERS-1,28,3,2,0,2,12.2,2.6,0.3,0.3,0,0,0,12.2,dbh at 0.7m,28
3,76,4,1,3-76-4,1,1,1,1,13.5,m,6419,Mallotus philippensis,Mallotus philippensis,33.3,3,1,0,1,11.3,3.1,0,0,NA,0,0,11.3,--,33.3
3,76,4,2,3-76-4,1,2,1,16,4.7,m,6602,Sapium insigne,Sapium insigne,29,3,1,0,0,NA,NA,NA,NA,NA,0,0,NA,--,29
3,76,4,4,3-76-4,1,4,1,45,6.7,m,6602,Sapium insigne,Sapium insigne,27,3,2,0,0,NA,NA,NA,NA,NA,0,0,NA,--,27
3,76,4,5,3-76-4,1,5,1,60,11.9,m,6651,Syzygium cumini,Eugenia jambolana,23.4,3,2,0,4,11.1,4.7,3.2,0.6,0,0,0,11.6,--,23.4
3,76,4,6,3-76-4,1,6,1,64,14.8,m,6419,Mallotus philippensis,Mallotus philippensis,34.2,3,2,0,13,13.2,1.5,1.3,0,0,0,0,13.3,--,34.2
3,76,4,7,3-76-4,1,7,1,72,9.8,m,6419,Mallotus philippensis,Mallotus philippensis,24.5,3,2,0,4,12.7,3.6,0,0,NA,0,0,12.7,--,24.5
3,76,4,8,3-76-4,1,8,1,77,12,m,6127,Bauhinia purpurea,OTHERS-1,37.2,3,1,0,2,11.9,2.8,0.8,0,0,0,0,11.9,--,37.2
3,76,4,10,3-76-4,1,10,1,90,4.6,m,6419,Mallotus philippensis,Mallotus philippensis,21.5,3,2,0,1,7.7,2,2.3,0.8,0,0,0,8,wrong in previous measurement,21.5
3,76,4,11,3-76-4,1,11,1,90,4.6,m,6419,Mallotus philippensis,Mallotus philippensis,16.5,3,2,0,4,7.5,1.8,1.5,0.6,0,0,0,7.6,--,16.5
3,76,4,12,3-76-4,1,12,1,90,4.6,m,6419,Mallotus philippensis,Mallotus philippensis,16,3,2,0,4,7.9,2,1.3,0.6,0,0,0,8,--,16
3,76,4,13,3-76-4,1,13,2,109,8.8,m,6602,Sapium insigne,Sapium insigne,35.5,3,1,0,0,NA,NA,NA,NA,NA,0,0,NA,--,35.5
3,76,4,14,3-76-4,1,14,2,153,5.5,m,6602,Sapium insigne,Sapium insigne,36,3,1,0,2,13.5,4.9,0,0,NA,0,0,13.5,db taken at 1.5m,36
3,76,4,15,3-76-4,1,15,1,282,10.2,m,6127,Bauhinia purpurea,OTHERS-1,33.4,3,1,0,0,NA,NA,NA,NA,NA,0,0,NA,--,33.4
3,76,4,18,3-76-4,1,18,1,317,17.1,m,6419,Mallotus philippensis,Mallotus philippensis,38.3,3,2,0,0,NA,NA,NA,NA,NA,0,0,NA,--,38.3
3,76,4,21,3-76-4,1,21,1,326,9.4,m,6419,Mallotus philippensis,Mallotus philippensis,32,3,2,0,1,10.8,4.6,0,0,NA,0,0,10.8,--,32
3,76,6,1,3-76-6,1,1,1,108,6.2,m,6419,Mallotus philippensis,Mallotus philippensis,10.7,3,3,0,4,12.1,2.5,1.8,0.2,0,0,0,12.2,--,10.7
3,76,6,2,3-76-6,1,2,1,109,6.2,m,6419,Mallotus philippensis,Mallotus philippensis,13.5,3,3,0,4,12.5,6.8,0,0,NA,0,0,12.5,--,13.5
