Plot_id,No_trees_ha,BA_sqm_ha,Volume_final_cum_ha,stem_ton_ha,Total_biom_ad_ton_ha,Total_biom_od_ton_ha,carbon_ton_ha,Mean_Diameter2022,Mean_HT_2022
10-72-3,175.33,26.62744131706335,264.21595248279937,236.78866843839967,336.12706140989843,305.57005582718034,143.61792623877477,47.1875,19.08125
10-72-4,722.64,29.94499814874235,140.36790222116002,109.18956054278314,157.42137647319788,143.11034224836172,67.26186085673001,34.49333333333333,12.016
10-72-6,385.98,30.887408832546225,277.30134020154696,251.06590994908052,359.7541681136777,327.0492437397069,153.71314455766225,49.728571428571435,18.445
10-75-3,71.64,34.75659933983974,332.8638737215324,296.5007725124807,423.2005370805217,384.72776098229247,180.82204766167743,73.66666666666667,21.845555555555556
10-75-6,123.82,28.520582121531035,286.2585405258047,239.58326811790997,342.2208591323618,311.1098719385107,146.2216398111,50.54142857142857,19.425
101-40-1,2240.62,33.91615406430238,293.74507331213306,258.3789784055199,332.5907130184426,302.3551936531296,142.10694101697092,19.47741935483871,13.763548387096774
101-40-2,788.3,20.941862880598944,191.2599815367821,168.30878375236824,225.97478662468936,205.43162420426304,96.55286337600363,30.07222222222222,17.505
101-40-3,1050.42,17.30603231034839,167.90936502603753,146.54711294877131,206.3614721722291,187.60133833839006,88.17262901904333,34.93333333333333,16.674166666666668
101-40-4,1052.05,23.75226369228933,201.97054430300324,177.73407898664286,223.40523846043322,203.09567132766654,95.45496552400327,20.029166666666665,15.139166666666668
101-40-5,998.95,20.988102090057556,204.5353842618646,179.99113815044086,244.67242660221504,222.42947872928636,104.54185500276459,28.66875,15.84625
101-40-6,1297.12,29.664845406491327,299.4195127484351,263.4891712186229,368.70440617503834,335.1858237954894,157.53733718388,39.54210526315789,18.95263157894737
103-40-1,2058.69,40.59446159501033,324.4289108816842,192.5741352550738,286.23809735834743,260.21645214395215,122.3017325076575,27.710526315789473,15.566052631578946
103-40-2,1125.42,31.531762209247738,268.770701162078,119.90282065608474,174.0132312389101,158.19384658082737,74.35110789298885,30.907142857142855,15.203571428571427
103-40-3,265.08,19.795503873736962,170.60307171294102,91.51939969289474,132.66413338999683,120.60375762726983,56.68376608481682,37.44375,17.193125000000002
103-40-4,217.32000000000002,8.96276738904907,69.090853605437,33.17232172942793,48.19688194061789,43.81534721874353,20.59321319280946,29.889999999999997,15.007
103-40-5,1239.65,12.725718586890295,78.07576866265859,45.502057862243184,67.56524292761169,61.42294811601063,28.868785614524995,21.292857142857144,10.678571428571429
103-40-6,797.83,16.548804918231426,107.77400576976504,65.62984964694358,95.87113174356202,87.1555743123291,40.963119926794676,20.895454545454545,13.336363636363636
105-36-1,755.15,21.332426990908157,183.78261738651955,149.5623501240177,213.42136185852883,194.01941987138983,91.18912733955321,30.522727272727273,16.110454545454544
105-36-2,673.38,33.37513432229988,329.2886723172423,282.95445045611245,398.36846645043823,362.1531513185802,170.21198111973268,36.13846153846154,19.449615384615385
105-36-3,674.03,38.76376639736405,418.8734661692782,355.4670318628487,501.3561350329239,455.7783045753853,214.21580315043107,40.83076923076923,21.455000000000002
105-36-4,808.21,20.706483221492974,182.90796330324736,144.4979159180484,209.97591252794177,190.88719320721975,89.71698080739328,26.766666666666666,17.271666666666665
105-36-5,734.81,27.46570155207828,264.9198897875675,219.32346445453214,312.4044597904669,284.00405435496987,133.48190554683583,35.76190476190476,19.317619047619047
105-36-6,638.02,24.73132469864481,231.3185142084767,187.04908623602753,266.9706919384166,242.70062903492416,114.06929564641436,28.63478260869565,16.82695652173913
107-33-1,833.19,19.187132689223432,163.1128281367567,129.90076630848608,178.88882860936184,162.62620782669256,76.4343176785455,26.064,16.748
107-33-3,720.87,16.11159844573234,131.91705436810813,106.95520388835425,152.00509515084593,138.18645013713268,64.94763156445235,26.75,14.645
107-33-4,367.67,26.263058289597375,224.81544493286697,193.77541830860145,265.8085046564777,241.64409514225238,113.57272471685862,33.928000000000004,16.8508
107-33-5,1420.3,25.704745265988088,187.27589189180924,152.1585355717349,208.75679823874316,189.77890748976648,89.19608652019024,23.520689655172415,14.258275862068967
107-33-6,777.26,28.6241579054794,255.5794395923157,199.85445333425062,285.9870811387287,259.9882555806624,122.19448012291132,32.99583333333333,17.229583333333334
108-36-1,53.95,9.841578893629492,101.20853457609817,78.83973627659026,112.88337965965738,102.62125423605215,48.231989490944514,48.98333333333333,22.80666666666667
108-36-2,583.84,18.314128402955205,140.15386413766333,103.29076613723149,147.9541000812663,134.5037273466057,63.21675185290468,28.7,14.353
108-36-3,618.76,22.401714051327875,190.2418033318952,148.3501242934627,212.2424455006799,192.9476777278908,90.68540853210867,32.73529411764706,11.836470588235294
108-36-4,516.2,23.165403660263365,227.49930004763786,185.25297412105306,261.97394514540844,238.15813195037128,111.9343220166745,34.054545454545455,19.074545454545454
108-36-5,652.15,23.93243833495464,212.3838482241726,167.5722715623009,240.79614324917156,218.90558477197413,102.88562484282782,29.585714285714282,15.540476190476191
108-36-6,880.47,21.00069206974071,173.28532053466446,147.14654400319856,209.18846554660337,190.17133231509396,89.38052618809417,31.357894736842102,13.354736842105263
11-73-1,1070.57,21.326132409473626,188.34034056151145,155.46661570676582,221.649765229514,201.49978657228542,94.70489968897415,30.145454545454548,18.96681818181818
11-73-3,860.1700000000001,24.893155566097843,189.28011627548958,154.89256604552807,221.47719594270595,201.34290540245993,94.63116553915616,27.71666666666667,13.526666666666666
11-73-4,692.57,15.793894796271672,119.3820033820287,98.50394886250162,141.07687237894265,128.25170216267512,60.27830001645731,28.008333333333336,13.275833333333333
11-73-6,736.83,25.144124891800388,195.72684223726785,167.9337182347816,238.56701239471218,216.87910217701105,101.93317802319518,26.95909090909091,13.37
11-77-1,872.12,25.231017205550362,166.50372490523446,118.69171447491962,172.9352970023375,157.21390636576137,73.89053599190784,25.417241379310347,12.803103448275863
11-77-3,2018.43,19.03828471259275,102.81834741921509,69.83979156453417,102.38014572342807,93.07285974857096,43.744244081828356,15.045833333333334,9.325000000000001
